side_to_side_peak,up_and_down_peak,forward_and_back_peak,rotation_speed_x_peak,rotation_speed_y_peak,rotation_speed_z_peak,total_energy,impact_force_newtons
5.898899188924983,3.8136245733792062,23.810378334963815,4.871630324360367,3.6087872668438354,9.825160451658281,89.53818098699678,146.64395289536267
4.39494452122382,5.5081105103561345,20.795525212816514,0.740519434791378,3.9815733987653443,5.076857445890566,186.27756496112522,118.2177822037431
2.0495165162903204,7.371714816545449,15.480015794006647,4.834566102645982,4.024714619277658,4.587003993009446,45.383143108778654,99.56181347936725
1.4058008777888333,2.886041722337837,13.308993012424173,0.9080639707801081,1.5749780693910693,3.8384402820065855,190.80671198489992,71.22274905599917
6.470582862732021,2.722574421437013,19.981500182887594,4.96825887852071,3.5226740953073024,12.080941211932753,87.81959793570682,124.92962529507106
7.589718680088792,3.4849706119869577,5.660554171024024,2.447362950889681,3.319920125205768,9.051442865263578,198.71226439245535,70.62675729212151
3.9292219853288866,6.763748440523327,9.586153490846028,4.395471913585455,3.1993885777316593,13.256429180167558,96.90820896757202,88.18921829977666
4.461133801555613,6.5034599258207155,15.307146269549627,0.9203102628252193,2.3851054482156093,12.413061399397689,40.143634535199055,115.2779585775173
4.536689266741128,5.814944493822618,9.211873682549749,1.100541452925916,4.974553016167019,10.85210064398645,192.40079025026853,86.46612374892317
1.290091157186359,3.6489444040597188,5.917368232280404,2.285800766534772,4.410574180495917,7.535012546775864,43.32169718341127,49.2692753747253
5.70954435352083,3.973716826454606,5.742890773199014,4.522628722269466,0.742129857749654,9.616849258811994,75.61601822166722,69.21483071720355
5.41544219378644,3.1225215816090097,17.174917604147577,2.6490987235408485,0.5741188960492576,7.39521044472647,133.8979894434268,114.49336630856548
3.6378356157784886,3.2473797720989945,16.91677988436394,4.801424943809491,2.618695716261086,7.457633130023011,120.92486003003725,106.16769138883397
6.467203382548439,4.480229966600373,19.030468816504712,0.6881458259591502,1.184549790596665,8.631078814085352,163.37805088479826,120.3925087039766
2.3191650829816473,2.098199047620795,16.421294250446564,3.4837042872620594,4.99948005844897,4.6749651742495715,160.782218041901,92.0684211559023
